Country,Sex,"Total mortality effect attributable to age structure, 2010-2019","Total disability effect attributable to age structure, 2010-2019","Total mortality effect attributable to population size, 2010-2019","Total disability effect attributable to population size, 2010-2019"
Belgium,Both sexes,0.08,0.3,0.32,0.57
Belize,Male,0.88,0.85,2.35,1.67
Belize,Female,0.69,1.06,1.92,2.23
Belize,Both sexes,0.81,0.95,2.16,1.93
Benin,Male,-0.22,0.12,4.66,2
Benin,Female,-0.22,0.19,4.02,2.7
Benin,Both sexes,-0.22,0.16,4.35,2.36
Bhutan,Male,0.43,0.84,0.84,0.66
Bhutan,Female,0.43,1.22,0.9,0.99
Bhutan,Both sexes,0.43,1.01,0.88,0.81
Bolivia (Plurinational State of),Male,0.58,0.75,1.46,1.07
Bolivia (Plurinational State of),Female,0.52,0.84,1.32,1.3
Bolivia (Plurinational State of),Both sexes,0.55,0.8,1.39,1.18
Bosnia and Herzegovina,Male,0.9,0.72,-0.93,-1.09
Bosnia and Herzegovina,Female,0.68,0.71,-0.68,-1.26
Bosnia and Herzegovina,Both sexes,0.79,0.72,-0.81,-1.18
Botswana,Male,1.54,0.92,2.43,1.17
Botswana,Female,0.92,0.81,2.08,1.33
Botswana,Both sexes,1.19,0.85,2.27,1.26
Brazil,Male,1.13,1.07,0.9,0.78
Brazil,Female,0.97,1.38,0.7,1.18
Brazil,Both sexes,1.05,1.23,0.82,0.98
Brunei Darussalam,Male,1.27,0.73,0.93,1.07
Brunei Darussalam,Female,1.68,1.71,0.58,0.84
Brunei Darussalam,Both sexes,1.49,1.26,0.77,0.97
Bulgaria,Male,0.29,0.12,-0.63,-0.54
Bulgaria,Female,0.29,0.17,-0.48,-0.72
Bulgaria,Both sexes,0.27,0.15,-0.58,-0.63
Burkina Faso,Male,-0.08,0.12,4.11,1.52
Burkina Faso,Female,-0.2,0.1,3.84,2.11
Burkina Faso,Both sexes,-0.15,0.12,3.99,1.81
Burundi,Male,-0.1,0.28,4.33,1.97
Burundi,Female,-0.32,0.15,4,2.34
Burundi,Both sexes,-0.19,0.23,4.17,2.14
Cabo Verde,Male,0.43,0.59,0.93,0.7
Cabo Verde,Female,-0.26,0.6,0.53,0.74
Cabo Verde,Both sexes,0.05,0.59,0.74,0.74
Cambodia,Male,0.85,0.69,1.65,0.92
Cambodia,Female,0.82,0.93,1.28,1.13
Cambodia,Both sexes,0.83,0.83,1.47,1.04
Cameroon,Male,-0.43,0.12,5.03,1.99
Cameroon,Female,-0.3,0.23,4.63,2.64
Cameroon,Both sexes,-0.36,0.17,4.85,2.31
Canada,Male,0.56,0.72,0.66,0.96
Canada,Female,0.36,0.52,0.46,1.11
Canada,Both sexes,0.45,0.61,0.56,1.04
Central African Republic,Male,-0.04,0.23,2.24,0.74
Central African Republic,Female,-0.12,0.38,2.62,1.2
Central African Republic,Both sexes,-0.08,0.3,2.46,0.95
Chad,Male,-0.48,-0.14,5.81,2.16
Chad,Female,-0.57,-0.33,5.22,2.79
Chad,Both sexes,-0.5,-0.21,5.52,2.46
Chile,Male,0.84,0.94,0.8,0.89
Chile,Female,0.64,1.17,0.56,1.17
Chile,Both sexes,0.74,1.07,0.69,1.04
China,Male,1.13,0.77,0.45,0.4
China,Female,1.22,1.24,0.34,0.52
China,Both sexes,1.2,0.99,0.4,0.46
"China, Taiwan Province of China",Male,0.91,0.84,0.05,0.05
"China, Taiwan Province of China",Female,1.05,1.71,0.17,0.36
"China, Taiwan Province of China",Both sexes,1.01,1.25,0.13,0.18
Colombia,Male,1.09,1.37,0.79,0.7
Colombia,Female,0.92,1.77,0.56,0.87
Colombia,Both sexes,1,1.58,0.68,0.79
Comoros,Male,0.11,0.64,1.69,0.89
Comoros,Female,0.26,0.9,1.5,1.07
Comoros,Both sexes,0.19,0.78,1.59,0.98
Congo,Male,0.02,0.51,3.02,1.49
Congo,Female,-0.13,0.46,2.91,1.85
Congo,Both sexes,-0.07,0.48,2.97,1.68
Costa Rica,Male,1.11,1.29,0.48,0.52
Costa Rica,Female,0.93,1.7,0.52,0.99
Costa Rica,Both sexes,1.04,1.5,0.52,0.74
C?te d'Ivoire,Male,0.27,0.35,3.52,1.42
C?te d'Ivoire,Female,0.22,0.44,3.22,1.91
C?te d'Ivoire,Both sexes,0.25,0.39,3.39,1.65
Croatia,Male,0.58,0.57,-0.19,-0.22
Croatia,Female,0.23,0.51,-0.19,-0.39
Croatia,Both sexes,0.37,0.53,-0.2,-0.3
Cuba,Male,0.86,0.53,-0.09,-0.1
Cuba,Female,0.9,0.66,-0.02,-0.04
Cuba,Both sexes,0.9,0.6,-0.05,-0.07
Cyprus,Male,0.91,0.73,0.97,1.3
Cyprus,Female,0.46,0.54,0.76,1.9
Cyprus,Both sexes,0.67,0.65,0.88,1.59
Czechia,Male,0.62,0.52,0.16,0.2
Czechia,Female,0.33,0.33,0.07,0.15
Czechia,Both sexes,0.44,0.42,0.11,0.18
Dem. People's Republic of Korea,Male,1.03,0.62,0.53,0.31
Dem. People's Republic of Korea,Female,0.54,0.68,0.22,0.23
Dem. People's Republic of Korea,Both sexes,0.68,0.66,0.37,0.29
Democratic Republic of the Congo,Male,-0.3,0.28,3.92,1.8
Democratic Republic of the Congo,Female,-0.54,0.18,3.64,2.31
Democratic Republic of the Congo,Both sexes,-0.44,0.23,3.8,2.06
Denmark,Male,0.71,0.46,0.37,0.49
Denmark,Female,0.48,0.28,0.24,0.52
Denmark,Both sexes,0.58,0.36,0.3,0.51
Djibouti,Male,0.7,0.63,3.86,1.81
Djibouti,Female,0.63,0.76,3.52,2.32
Djibouti,Both sexes,0.69,0.69,3.72,2.04
Dominican Republic,Male,0.79,0.74,1.14,0.83
Dominican Republic,Female,0.81,1.14,0.87,1.06
Dominican Republic,Both sexes,0.82,0.93,1.02,0.94
Eastern Mediterranean Region,Male,0.2,0.56,2.25,1.49
Eastern Mediterranean Region,Female,0.26,0.79,1.91,1.89
Eastern Mediterranean Region,Both sexes,0.23,0.66,2.09,1.68
Ecuador,Male,0.67,0.84,1.57,1.27
Ecuador,Female,0.68,1.14,1.12,1.55
Ecuador,Both sexes,0.68,0.98,1.35,1.41
Egypt,Male,0.36,0.33,2.03,1.41
Egypt,Female,0.39,0.39,1.4,1.73
Egypt,Both sexes,0.37,0.35,1.72,1.56
El Salvador,Male,0.79,0.78,0.48,0.37
El Salvador,Female,0.8,1.13,0.45,0.63
El Salvador,Both sexes,0.82,0.98,0.49,0.5
Equatorial Guinea,Male,-0.77,0.17,4.71,2.48
Equatorial Guinea,Female,-0.12,0.41,4,2.65
Equatorial Guinea,Both sexes,-0.45,0.29,4.42,2.63
Eritrea,Male,0.78,0.62,2.4,1.17
Eritrea,Female,0.55,0.6,1.97,1.36
Eritrea,Both sexes,0.65,0.61,2.21,1.27
Estonia,Male,0.51,0.42,-0.01,-0.01
Estonia,Female,0.16,0.39,-0.13,-0.27
Estonia,Both sexes,0.24,0.41,-0.1,-0.13
Eswatini,Male,0.88,0.44,1.51,0.49
Eswatini,Female,1.5,0.92,0.74,0.34
Eswatini,Both sexes,1.23,0.67,1.13,0.44
Ethiopia,Male,-0.05,0.46,2.93,1.54
Ethiopia,Female,0.46,0.98,2.66,1.86
Ethiopia,Both sexes,0.19,0.69,2.81,1.69
European Region,Male,0.46,0.49,0.34,0.31
European Region,Female,0.2,0.38,0.19,0.34
European Region,Both sexes,0.31,0.43,0.27,0.33
Fiji,Male,0.72,0.5,0.43,0.3
Fiji,Female,0.98,0.74,0.5,0.49
Fiji,Both sexes,0.86,0.62,0.47,0.39
Finland,Male,0.54,0.73,0.26,0.35
Finland,Female,0.2,0.44,0.12,0.31
Finland,Both sexes,0.34,0.57,0.19,0.34
France,Male,0.36,0.58,0.27,0.37
France,Female,0.03,0.48,0.18,0.53
France,Both sexes,0.17,0.54,0.23,0.45
Gabon,Male,0.12,0.33,2.02,1.09
Gabon,Female,-0.13,0.37,2.17,1.75
Gabon,Both sexes,0,0.35,2.12,1.4
Gambia,Male,-0.57,0,3.49,1.59
Gambia,Female,-0.44,0.13,3.07,2.34
Gambia,Both sexes,-0.5,0.06,3.29,1.96
Georgia,Male,-0.01,0.03,-0.77,-0.57
Georgia,Female,0.06,0.02,-0.77,-1.06
Georgia,Both sexes,0.01,0.03,-0.83,-0.8
Germany,Male,0.23,0.24,0.37,0.51
Germany,Female,0.18,0.02,0.12,0.33
Germany,Both sexes,0.19,0.12,0.23,0.44
Ghana,Male,-0.18,0.06,3.55,1.56
Ghana,Female,0.19,0.43,3.36,2.25
Ghana,Both sexes,0.04,0.24,3.49,1.91
Global,Male,0.47,0.64,1.26,0.85
Global,Female,0.31,0.77,1.09,1.16
Global,Both sexes,0.4,0.71,1.18,1
Greece,Male,0.47,0.57,-0.62,-0.81
Greece,Female,0.22,0.62,-0.27,-0.72
Greece,Both sexes,0.33,0.6,-0.43,-0.79
Grenada,Male,2.65,0.64,-0.09,-0.09
Grenada,Female,0.93,0.79,-0.37,-0.52
Grenada,Both sexes,1.52,0.85,-0.25,-0.28
Guam,Male,1.6,1.3,-0.29,-0.22
Guam,Female,1.8,2.74,-0.09,-0.12
Guam,Both sexes,1.73,1.97,-0.19,-0.19
Guatemala,Male,0.88,1.2,1.46,1.04
Guatemala,Female,0.78,1.58,1.16,1.36
Guatemala,Both sexes,0.82,1.39,1.32,1.2
Guinea,Male,-0.95,-0.3,4.32,1.64
Guinea,Female,-0.96,-0.47,3.89,2.15
Guinea,Both sexes,-0.93,-0.37,4.1,1.9
Guinea-Bissau,Male,-0.23,0.09,3.65,1.32
Guinea-Bissau,Female,-0.17,0.17,3.23,1.84
Guinea-Bissau,Both sexes,-0.19,0.13,3.45,1.58
Guyana,Male,1.08,0.59,0.14,0.09
Guyana,Female,1.07,0.86,0.28,0.28
Guyana,Both sexes,1.1,0.72,0.22,0.18
Haiti,Male,-0.23,0.26,5.97,1.42
Haiti,Female,-0.24,0.45,7.23,1.73
Haiti,Both sexes,-0.19,0.36,6.64,1.58
High-middle SDI,Male,0.81,0.64,0.53,0.46
High-middle SDI,Female,0.58,0.74,0.33,0.53
High-middle SDI,Both sexes,0.69,0.7,0.43,0.5
High SDI,Male,0.63,0.74,0.46,0.6
High SDI,Female,0.35,0.62,0.3,0.7
High SDI,Both sexes,0.48,0.68,0.39,0.65
Honduras,Male,0.54,0.57,1.81,1.43
Honduras,Female,0.78,0.93,1.79,1.88
Honduras,Both sexes,0.66,0.75,1.81,1.66
Hungary,Male,0.61,0.36,-0.21,-0.2
Hungary,Female,0.3,0.31,-0.2,-0.35
Hungary,Both sexes,0.41,0.33,-0.22,-0.27
Iceland,Male,0.54,0.69,0.51,0.78
Iceland,Female,0.3,0.65,0.38,0.95
Iceland,Both sexes,0.42,0.67,0.45,0.87
India,Male,0.39,0.75,1.38,0.94
India,Female,0.17,1.09,1.33,1.33
India,Both sexes,0.29,0.92,1.36,1.12
Indonesia,Male,0.67,0.63,1.36,0.84
Indonesia,Female,0.54,0.74,1.1,1.01
Indonesia,Both sexes,0.61,0.69,1.23,0.93
Iran (Islamic Republic of),Male,0.26,0.86,1.01,1
Iran (Islamic Republic of),Female,0.5,1.28,0.65,1.18
Iran (Islamic Republic of),Both sexes,0.38,1.06,0.83,1.09
Iraq,Male,0.46,0.81,2.42,1.9
Iraq,Female,0.39,0.98,1.98,2.41
Iraq,Both sexes,0.44,0.89,2.23,2.14
Ireland,Male,0.95,0.9,0.41,0.6
Ireland,Female,0.53,0.67,0.36,0.9
Ireland,Both sexes,0.72,0.78,0.39,0.75
Israel,Male,0.44,0.52,1.11,1.58
Israel,Female,0.18,0.48,0.77,1.96
Israel,Both sexes,0.29,0.5,0.94,1.78
Italy,Male,0.5,0.63,0.02,0.04
Italy,Female,0.18,0.44,0,-0.01
Italy,Both sexes,0.31,0.53,0.01,0.02
Jamaica,Male,0.54,0.6,0.17,0.15
Jamaica,Female,0.45,0.8,0.11,0.15
Jamaica,Both sexes,0.5,0.7,0.14,0.15
Japan,Male,0.51,0.76,-0.08,-0.11
Japan,Female,0.24,0.77,-0.05,-0.13
Japan,Both sexes,0.36,0.77,-0.06,-0.12
Jordan,Male,0.7,1.17,3.54,3.77
Jordan,Female,0.97,1.91,2.5,4.26
Jordan,Both sexes,0.84,1.54,3.02,3.99
Kazakhstan,Male,0.27,0.09,1.63,0.99
Kazakhstan,Female,0.15,0.02,1.04,1.27
Kazakhstan,Both sexes,0.19,0.05,1.36,1.15
Kenya,Male,0.67,0.66,2.53,1.19
Kenya,Female,0.46,0.85,2.42,1.65
Kenya,Both sexes,0.58,0.75,2.5,1.41
Kiribati,Male,0.43,0.27,1.36,0.67
Kiribati,Female,0.4,0.44,1.33,1.06
Kiribati,Both sexes,0.45,0.36,1.37,0.86
Kuwait,Male,0.16,0.94,2.09,2.78
Kuwait,Female,-0.51,1.16,3.08,5.78
Kuwait,Both sexes,-0.11,0.95,2.52,3.9
Kyrgyzstan,Male,0.07,0.04,2.05,1.17
Kyrgyzstan,Female,-0.33,-0.06,1.57,1.63
Kyrgyzstan,Both sexes,-0.14,-0.01,1.85,1.4
Lao People's Democratic Republic,Male,0.84,0.63,1.66,0.8
Lao People's Democratic Republic,Female,0.73,0.84,1.37,0.99
Lao People's Democratic Republic,Both sexes,0.79,0.73,1.52,0.89
Latvia,Male,0.66,0.36,-1,-0.81
Latvia,Female,0.34,0.27,-0.74,-1.24
Latvia,Both sexes,0.43,0.32,-0.92,-1.03
Lebanon,Male,-0.71,-0.25,2.43,2.85
Lebanon,Female,-0.02,0.55,1.63,3.26
Lebanon,Both sexes,-0.36,0.14,2.03,3.08
Lesotho,Male,-0.06,0.19,0.72,0.25
Lesotho,Female,0.01,0.18,0.15,0.08
Lesotho,Both sexes,-0.03,0.19,0.43,0.18
Liberia,Male,-0.9,0.06,4.06,2.13
Liberia,Female,-0.7,0.25,3.59,2.63
Liberia,Both sexes,-0.8,0.15,3.82,2.38
Libya,Male,0.51,1.08,0.89,0.72
Libya,Female,0.64,1.5,0.88,1.11
Libya,Both sexes,0.59,1.28,0.89,0.9
Lithuania,Male,0.66,0.5,-1.08,-0.89
Lithuania,Female,0.38,0.54,-0.66,-1.19
Lithuania,Both sexes,0.48,0.53,-0.91,-1.05
Low-middle SDI,Male,0.35,0.61,1.65,0.99
Low-middle SDI,Female,0.33,0.91,1.53,1.39
Low-middle SDI,Both sexes,0.34,0.75,1.6,1.18
Low SDI,Male,-0.24,0.24,3.4,1.6
Low SDI,Female,-0.2,0.38,3.25,2.13
Low SDI,Both sexes,-0.22,0.3,3.34,1.85
Luxembourg,Male,0.17,0.43,1.45,1.97
Luxembourg,Female,-0.13,0.13,0.97,2.33
Luxembourg,Both sexes,-0.01,0.26,1.22,2.17
Madagascar,Male,-0.21,0.29,3.48,1.55
Madagascar,Female,-0.22,0.38,3.28,1.99
Madagascar,Both sexes,-0.21,0.34,3.38,1.77
Malawi,Male,-0.57,0.18,4.2,1.51
Malawi,Female,-0.49,0.33,3.98,2.2
Malawi,Both sexes,-0.53,0.25,4.13,1.86
Malaysia,Male,1.48,1.17,0.97,0.8
Malaysia,Female,1.22,1.35,0.64,0.95
Malaysia,Both sexes,1.36,1.25,0.8,0.87
Maldives,Male,-1.54,-0.62,3.98,3.76
Maldives,Female,0.65,1.8,1.05,1.65
Maldives,Both sexes,-0.58,0.37,2.52,2.96
Mali,Male,-0.56,-0.12,5.64,2.23
Mali,Female,-0.45,-0.09,5.16,2.81
Mali,Both sexes,-0.5,-0.11,5.4,2.52
Malta,Male,1.22,0.83,0.27,0.37
Malta,Female,0.69,0.84,0.16,0.39
Malta,Both sexes,0.93,0.84,0.22,0.39
Mauritania,Male,-0.22,0.16,2.62,1.61
Mauritania,Female,-0.09,0.22,2.5,2.04
Mauritania,Both sexes,-0.15,0.19,2.56,1.83
Mauritius,Male,1.71,1.17,0.05,0.04
Mauritius,Female,1.23,1.38,0.06,0.09
Mauritius,Both sexes,1.45,1.28,0.06,0.07
Mexico,Male,0.9,1.09,1.08,0.9
Mexico,Female,0.85,1.48,0.77,1.17
Mexico,Both sexes,0.88,1.28,0.93,1.03
Micronesia (Fed. States of),Male,1.37,0.67,-0.2,-0.12
Micronesia (Fed. States of),Female,1.04,0.92,-0.2,-0.2
Micronesia (Fed. States of),Both sexes,1.22,0.79,-0.21,-0.16
Middle SDI,Male,0.95,0.87,0.92,0.69
Middle SDI,Female,0.88,1.24,0.78,0.99
Middle SDI,Both sexes,0.94,1.05,0.86,0.83
Mongolia,Male,0.94,0.43,2.04,1.13
Mongolia,Female,1.02,0.76,1.66,1.63
Mongolia,Both sexes,1.06,0.6,1.92,1.37
Montenegro,Male,0.44,0.23,-0.1,-0.11
Montenegro,Female,0.42,0.32,-0.1,-0.18
Montenegro,Both sexes,0.44,0.28,-0.11,-0.14
Morocco,Male,0.6,0.9,0.91,0.83
Morocco,Female,0.81,1.15,0.64,0.87
Morocco,Both sexes,0.71,1.03,0.77,0.86
Mozambique,Male,-0.66,-0.12,4.25,1.56
Mozambique,Female,-0.61,-0.16,4.18,2.36
Mozambique,Both sexes,-0.63,-0.14,4.27,1.96
Myanmar,Male,0.59,0.43,1.29,0.64
Myanmar,Female,0.69,0.8,1.13,0.9
Myanmar,Both sexes,0.67,0.62,1.23,0.77
Namibia,Male,0.74,0.52,1.67,0.77
Namibia,Female,0.67,0.8,1.56,1.09
Namibia,Both sexes,0.73,0.66,1.64,0.93
Nepal,Male,0.75,0.76,0.84,0.65
Nepal,Female,0.81,1.3,1.16,1.23
Nepal,Both sexes,0.8,1.03,1.02,0.93
Netherlands,Male,0.88,0.79,0.23,0.33
Netherlands,Female,0.41,0.49,0.15,0.37
Netherlands,Both sexes,0.61,0.63,0.19,0.36
New Zealand,Male,0.36,0.53,0.94,1.4
New Zealand,Female,0.32,0.44,0.57,1.43
New Zealand,Both sexes,0.34,0.49,0.75,1.44
Nicaragua,Male,1.03,1.28,1.24,1.21
Nicaragua,Female,1.06,1.58,0.95,1.47
Nicaragua,Both sexes,1.06,1.44,1.1,1.34
Niger,Male,-0.54,-0.17,5.43,2.18
Niger,Female,-0.19,0,4.89,2.87
Niger,Both sexes,-0.35,-0.09,5.17,2.53
Nigeria,Male,-1.03,-0.27,4.01,1.68
Nigeria,Female,-0.57,0.19,4.53,2.74
Nigeria,Both sexes,-0.79,-0.05,4.32,2.19
North Macedonia,Male,0.71,0.52,0.19,0.2
North Macedonia,Female,0.49,0.57,0.09,0.16
North Macedonia,Both sexes,0.59,0.55,0.14,0.18
Norway,Male,0.43,0.43,0.68,1.04
Norway,Female,0.15,0.06,0.41,1.09
Norway,Both sexes,0.27,0.22,0.54,1.08
Oman,Male,-0.55,-0.35,4.31,3.63
Oman,Female,0.62,0.3,2.65,3.74
Oman,Both sexes,-0.03,-0.09,3.64,3.72
Pakistan,Male,-0.07,0.24,3.01,1.77
Pakistan,Female,-0.02,0.46,2.87,2.27
Pakistan,Both sexes,-0.04,0.34,2.95,2
Panama,Male,0.62,0.78,1.57,1.54
Panama,Female,0.61,1.07,1.12,1.92
Panama,Both sexes,0.63,0.92,1.37,1.72
Papua New Guinea,Male,0.52,0.35,3.21,1.84
Papua New Guinea,Female,0.5,0.39,3.02,2.2
Papua New Guinea,Both sexes,0.52,0.37,3.12,2.01
Paraguay,Male,0.69,0.68,1.21,1.06
Paraguay,Female,0.6,0.96,0.98,1.44
Paraguay,Both sexes,0.66,0.81,1.11,1.24
Peru,Male,0.44,0.66,1.68,1.52
Peru,Female,0.48,0.89,1.35,1.85
Peru,Both sexes,0.46,0.77,1.52,1.68
Philippines,Male,0.65,0.58,1.59,0.98
Philippines,Female,0.58,1,1.18,1.31
Philippines,Both sexes,0.65,0.78,1.41,1.14
Poland,Male,0.61,0.53,0.03,0.03
Poland,Female,0.27,0.49,0.01,0.01
Poland,Both sexes,0.41,0.51,0.02,0.02
Portugal,Male,0.76,0.67,-0.13,-0.18
Portugal,Female,0.37,0.7,-0.01,-0.04
Portugal,Both sexes,0.55,0.7,-0.06,-0.12
Puerto Rico,Male,1.11,1.4,-1.15,-1.17
Puerto Rico,Female,0.9,1.65,-0.66,-1.31
Puerto Rico,Both sexes,0.99,1.53,-0.91,-1.25
Qatar,Male,2.18,2.02,3.52,3.46
Qatar,Female,0.52,1.1,4.25,6.16
Qatar,Both sexes,1.56,1.72,3.69,4.13
Region of the Americas,Male,0.7,0.87,0.84,0.81
Region of the Americas,Female,0.52,0.91,0.67,1.1
Region of the Americas,Both sexes,0.61,0.89,0.76,0.95
Republic of Korea,Male,1.76,1.76,0.41,0.55
Republic of Korea,Female,0.76,1.79,0.2,0.51
Republic of Korea,Both sexes,1.2,1.78,0.31,0.54
Republic of Moldova,Male,0.76,0.47,-0.68,-0.42
Republic of Moldova,Female,0.61,0.55,-0.45,-0.53
Republic of Moldova,Both sexes,0.66,0.53,-0.57,-0.48
Romania,Male,0.53,0.32,-0.69,-0.59
Romania,Female,0.43,0.42,-0.48,-0.75
Romania,Both sexes,0.47,0.38,-0.61,-0.67
Russian Federation,Male,0.05,0.1,0.11,0.07
Russian Federation,Female,-0.09,-0.05,0.02,0.03
Russian Federation,Both sexes,-0.09,0.03,0.06,0.05
Rwanda,Male,0.65,0.77,2.72,1.45
Rwanda,Female,0.64,1.05,2.34,1.75
Rwanda,Both sexes,0.64,0.92,2.53,1.62
Saint Lucia,Male,1.12,1.15,0.49,0.45
Saint Lucia,Female,0.87,1.49,0.3,0.48
Saint Lucia,Both sexes,1.02,1.3,0.4,0.47
Saint Vincent and the Grenadines,Male,0.84,0.91,0.28,0.24
Saint Vincent and the Grenadines,Female,0.68,0.9,0.18,0.24
Saint Vincent and the Grenadines,Both sexes,0.78,0.9,0.23,0.24
Samoa,Male,0.46,0.3,0.81,0.6
Samoa,Female,0.15,0.17,0.8,0.85
Samoa,Both sexes,0.3,0.24,0.81,0.71
Sao Tome and Principe,Male,-0.16,0.35,2.01,1.28
Sao Tome and Principe,Female,-0.19,0.49,1.69,1.61
Sao Tome and Principe,Both sexes,-0.18,0.43,1.85,1.45
Saudi Arabia,Male,0.69,0.49,2.61,2.33
Saudi Arabia,Female,0.32,0.55,1.83,2.4
Saudi Arabia,Both sexes,0.57,0.51,2.26,2.37
Senegal,Male,-0.4,0.17,2.65,1.44
Senegal,Female,-0.1,0.45,2.17,1.77
Senegal,Both sexes,-0.24,0.3,2.4,1.61
Serbia,Male,0.4,0.31,0.07,0.07
Serbia,Female,0.43,0.46,-0.16,-0.26
Serbia,Both sexes,0.41,0.38,-0.06,-0.08
Seychelles,Male,0.9,0.62,1.13,0.83
Seychelles,Female,0.32,0.43,0.59,0.81
Seychelles,Both sexes,0.62,0.53,0.87,0.84
Sierra Leone,Male,-0.51,0.14,5.12,1.93
Sierra Leone,Female,-0.48,0.09,4.37,2.27
Sierra Leone,Both sexes,-0.49,0.12,4.74,2.1
Singapore,Male,2.31,2,0.56,0.78
Singapore,Female,1.27,1.75,0.63,1.35
Singapore,Both sexes,1.77,1.9,0.61,1.05
Slovakia,Male,1.05,0.63,0.08,0.08
Slovakia,Female,0.56,0.58,0.01,0.02
Slovakia,Both sexes,0.76,0.6,0.04,0.06
Slovenia,Male,0.9,0.88,0.17,0.23
Slovenia,Female,0.24,0.64,0.05,0.14
Slovenia,Both sexes,0.49,0.74,0.11,0.19
Solomon Islands,Male,0.35,0.21,2.11,1.06
Solomon Islands,Female,0.5,0.55,1.83,1.52
Solomon Islands,Both sexes,0.43,0.35,1.99,1.27
Somalia,Male,-0.58,-0.14,5.46,1.64
Somalia,Female,-0.46,-0.13,5,2.24
Somalia,Both sexes,-0.51,-0.13,5.27,1.94
South-East Asia Region,Male,0.56,0.83,1.27,0.84
South-East Asia Region,Female,0.37,1.15,1.21,1.19
South-East Asia Region,Both sexes,0.47,0.99,1.25,1.01
South Africa,Male,1.02,0.65,1.77,0.81
South Africa,Female,0.56,0.73,1.41,0.99
South Africa,Both sexes,0.77,0.7,1.59,0.91
South Sudan,Male,0.15,0.42,-0.89,-0.36
South Sudan,Female,0.08,0.96,0.16,0.09
South Sudan,Both sexes,0.12,0.64,-0.36,-0.17
Spain,Male,0.59,0.66,-0.18,-0.26
Spain,Female,0.17,0.57,-0.04,-0.12
Spain,Both sexes,0.37,0.62,-0.1,-0.21
Sri Lanka,Male,1.1,0.92,0.65,0.57
Sri Lanka,Female,1.09,1.42,0.51,0.86
Sri Lanka,Both sexes,1.11,1.18,0.6,0.71
State of Palestine,Male,0.77,1.07,1.7,1.63
State of Palestine,Female,0.25,1.03,1.39,2.02
State of Palestine,Both sexes,0.5,1.05,1.55,1.83
Sudan,Male,-0.46,0.21,2.68,1.68
Sudan,Female,-0.21,0.44,2.32,2.11
Sudan,Both sexes,-0.33,0.32,2.5,1.89
Suriname,Male,0.98,0.82,0.58,0.42
Suriname,Female,0.92,1.17,0.68,0.81
Suriname,Both sexes,0.99,0.99,0.66,0.6
Sweden,Male,0.35,0.23,0.57,0.87
